"time","motormodellAufgabe3_me_FMU.N","motormodellAufgabe3_me_FMU.M","motormodellAufgabe3_me_FMU.alpha"
6.35,1000,123.084515767083,80
6.36,1000,123.00893785597343,80
6.37,1000,123.48739871254747,80
6.38,1000,122.88079241123123,80
6.39,1000,123.06744165932417,80
6.4,1000,123.01927821224486,80
6.41,1000,123.15669992667931,80
6.42,1000,124.06908706395487,80
6.43,1000,122.73328311725935,80
6.44,1000,123.31980358048983,80
6.45,1000,123.39203035198774,80
6.46,1000,123.4926532139919,80
6.47,1000,122.45165709523533,80
6.48,1000,122.39189623797367,80
6.49,1000,122.5379190213137,80
6.5,1000,124.34213235923015,80
6.51,1000,123.33463749011689,80
6.52,1000,122.93325858827501,80
6.53,1000,123.89686906641745,80
6.54,1000,123.1205670118482,80
6.55,1000,122.92288437553141,80
6.56,1000,123.44644804004362,80
6.57,1000,122.71759287765076,80
6.58,1000,124.27349523725924,80
6.59,1000,123.28029122572484,80
6.6,1000,122.66815944409348,80
6.61,1000,123.31849771808258,80
6.62,1000,123.23936815803415,80
6.63,1000,122.88143310191128,80
6.64,1000,122.52778161971956,80
6.65,1000,122.32773592459291,80
6.66,1000,122.98423667479364,80
6.67,1000,123.53190360477129,80
6.68,1000,123.44287453035481,80
6.69,1000,123.4296526511025,80
6.7,1000,122.77846476839552,80
6.71,1000,121.82926684452595,80
6.72,1000,122.51470241876585,80
6.73,1000,122.68877617583452,80
6.74,1000,123.3261145267635,80
6.75,1000,123.14074389697002,80
6.76,1000,122.58236429077078,80
6.77,1000,123.23047289166169,80
6.78,1000,122.71436550615928,80
6.79,1000,122.51641201991404,80
6.8,1000,122.87805218178589,80
6.81,1000,123.24045540501965,80
6.82,1000,123.31735465920657,80
6.83,1000,123.15466679735839,80
6.84,1000,123.06808367586872,80
6.85,1000,122.50609343526705,80
6.86,1000,123.01935058553072,80
6.87,1000,123.40140747981661,80
6.88,1000,122.99087776348784,80
6.89,1000,122.96432625962198,80
6.9,1000,123.25852551658926,80
6.91,1000,122.78053299856985,80
6.92,1000,122.43391205634389,80
6.93,1000,123.36859444315897,80
6.94,1000,123.22281676704296,80
6.95,1000,123.6784830591995,80
6.96,1000,122.29237383123788,80
6.97,1000,123.11492594747916,80
6.98,1000,123.37533713580686,80
6.99,1000,122.86660391863765,80
7,1000,122.79721014576111,80
7.01,1000,123.16834817468109,80
7.02,1000,122.50299423452951,80
7.03,1000,122.63290009978742,80
7.04,1000,122.93156340773396,80
7.05,1000,122.72168673335153,80
7.06,1000,123.27486797926532,80
7.07,1000,123.83184676214212,80
7.08,1000,122.47811696984856,80
7.09,1000,122.0837584482358,80
7.1,1000,123.1890872837685,80
7.11,1000,123.78540976611677,80
7.12,1000,122.59699800054275,80
7.13,1000,122.28880790721627,80
7.14,1000,122.08882286600378,80
7.15,1000,123.21615933265737,80
7.16,1000,122.65540748122555,80
7.17,1000,123.37369968211912,80
7.18,1000,122.67407794472106,80
7.19,1000,124.11478224937082,80
7.2,1000,123.2554338198964,80
7.21,1000,122.0211103120668,80
7.22,1000,122.97757318963069,80
7.23,1000,122.43719238227895,80
7.24,1000,123.21893647835333,80
7.25,1000,122.25889768577947,80
7.26,1000,123.0718748138144,80
7.27,1000,122.58090687766014,80
7.28,1000,123.06734348504499,80
7.29,1000,122.79662499192217,80
7.3,1000,122.55585427951978,80
7.31,1000,122.8478595629859,80
7.32,1000,123.83182504890038,80
7.33,1000,122.22477399713017,80
7.34,1000,121.95170976669495,80
7.35,1000,122.61738490627485,80
7.36,1000,123.69533357525626,80
7.37,1000,123.02609341648218,80
7.38,1000,122.81647942477552,80
7.39,1000,122.78229427694518,80
7.4,1000,122.9770005958412,80
7.41,1000,122.4754189379595,80
7.42,1000,123.14188565678656,80
7.43,1000,122.8279048601155,80
7.44,1000,122.61324384374711,80
7.45,1000,123.38710577996198,80
7.46,1000,123.03549518424292,80
7.47,1000,122.64512798201153,80
7.48,1000,123.15492544119415,80
7.49,1000,123.23479804928792,80
7.5,1000,122.84882716707241,80
7.51,1000,123.74207428191464,80
7.52,1000,123.28354918250604,80
7.53,1000,122.83975606766067,80
7.54,1000,123.36599298058344,80
7.55,1000,122.62105759137609,80
7.56,1000,123.25486768664761,80
7.57,1000,122.92100347201061,80
7.58,1000,122.12776264267112,80
7.59,1000,122.66719454435297,80
7.6,1000,123.00452560175778,80
7.61,1000,122.59094358803428,80
7.62,1000,123.28674973228438,80
7.63,1000,122.79559437780526,80
7.64,1000,123.10597190153412,80
7.65,1000,121.89509001836419,80
7.66,1000,122.24240026211419,80
7.67,1000,122.27220203530342,80
7.68,1000,122.50414683176291,80
7.69,1000,122.68878995352813,80
7.7,1000,122.44639117970802,80
7.71,1000,123.41663503578341,80
